Company Name:,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product
DIVEMEX,,,,,,,,,,,,,,,,,,,,,,,Cucumbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organic Produce,,,,,,Peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Veca Produce, S.A. de C.V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICOLA AMIGO,,,,Asparagus,,,,Bagged Salad,,Beets,,,Broccoli,Cabbage,,,Cauliflower,Celery,,,Corn,,,,,,,,,,,,,Garlic,,,,Herbs,,,,,,,Lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,Radishes,,,,,,,,Squash,,,,,,,,Vegetables – Imported,,
AGRICOLA SAN PEDRO,,,,,,,,,,,,,Broccoli,,,Carrots,,Celery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macu Frescos,,,,Asparagus,,,,,,Beets,,,Broccoli,,,Carrots,,Celery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radishes,,,,,,Spinach,,,,,,,,,,,,
CHANITOS,,,,,,,Bananas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organic Produce,,,,,,,,Plantains,,,,,,,,,,,,,,,,,,,,,Tropical Produce,,,,
Happy Produce,,,,,,,,,,,,,,,,,,,,,,,Cucumbers,,,,,,,,,,,,,,,,Hothouse/Greenhouse Vegetables,,,,,,,,,,,,,,,,,,,,,,,Peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMERCIALIZADORA LEBASI,,,,,,,,,,,,,,,,,,,,,,,Cucumbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERIDIAN FRUITS SPR DE RL DE CV,,,,,,Avocados,,,,,Berries,Blueberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organic Produce,,,,,,,,,,,,,,,,,Raspberries,,,,,,,,Strawberries,,,,,,,,
AGROPALM PACK SC DE RL DE CV,,,,,,,,,,,,,Broccoli,,,Carrots,Cauliflower,Celery,,,,,,,,,,,,,,,Fresh-cut Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenhouse Company de Mexico LLC,,,,,,,,,,,,,,,,,,,,,,,Cucumbers,,,,,,,,,,,,,,,,Hothouse/Greenhouse Vegetables,Hydroponics,,,,,,,,,,,,,,,,,,,,,,Peppers,,,,,,,,,,,,,,,,,,,,,,Tomatoes,,,Vegetables – Imported,,
Agricola Alfer SPR de RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lemons,,,,,,,,,,Onions,,,,,,,,Peppers,,,,,,,,Pumpkins,,,,,,,,,Squash,,,,,Tomatoes,,,,,
Organics Unlimited/Tropipack,,,,,,,Bananas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
